label	text1	text2
0	this is truly a re - make that should never have gotten out of the stable . it has two casts that are acting in entirely different strata . at the top of their game are joan plowright and maximillian schell . every nuance of the franks is in plain sight . at the rock bottom are melissa gilbert and doris roberts . i can not imagine how schell and plowright manage to play so well when gilbert and roberts are working their anti - magic . gilbert ruins every scene she 's in . it 's like father knows	
1	"i like movies about quirky people . "" one flew over the cuckoo 's nest "" is maybe my all time favorite , so one can imagine i had a blast with this one . it 's definitely not one to watch if you want to walk off smiling . this movie is unpredictable and intense . some scenes are downright frightening , even after multiple viewings ( because this kind of stuff really can happen ) . it will most definitely keep you on the edge of your seat for the whole ride . and after you see the"	
1	while boris(aleksey batalov)is off to fight in war against the germans for his mother russia , his beloved veronika(tatyana samojlova)marries his conniving cousin mark(aleksandr shvorin)in a moment of weakness shortly after her parents were killed in an air raid over moscow . through various trials and betrayals , veronika will await word or letter from boris no matter how long it takes , holding hope that he will return to her.<br /><br />powerful piece of film - making boasts simply incredible photographic work by cinematographer sergei urusevsky . some of the many magnificently framed , moving shots include the scene	
0	unlike some of the reviews written here , i did n't hate this movie . it is a movie that could have been much better than it was . not oscar material , true , but much better than it was.<br /><br />i thought the plot had a good hook and through line . granted , this movie was badly written . and terribly directed and produced . i mean , how many irrelevant flashbacks can you have ? why were we there ? what exactly is the point of the opening sequence ? it seems like the producer(s )	
0	"look , this film is terrible ... the "" plot "" involves twins who are neglected by their self - absorbed parents , and left in the care of a succession of nannies and babysitters , all of whom the children drive away by being completely obnoxious . eventually the kids engineer ex - convict beverly d'angelo to be their new nanny , do you care why ? and d'angelo watches a tv talk show about selling children and decides she will try to sell the twins ... and , well , oh , you do n't want to know"	
1	"( some spoilers included:)<br /><br />although , many commentators have called this film surreal , the term fits poorly here . to quote from encyclopedia britannica 's , surreal means:<br /><br />""fantastic or incongruous imagery "" : one need n't explain to the unimaginative how many ways a plucky ten - year - old boy at large and seeking his fortune in the driver 's seat of a red mustang could be fantastic : those curious might read james kincaid ; but if you asked said lad how he were incongruous behind the wheel of a sports car , he"	
1	this movie takes the voice of terror and makes it better . holmes is protecting an inventor in switzerland and is on the trail of professor moriarity , who has become a nazi . this is a better version of holmes in a wwii world . rathbone does a great job with holmes as a spy and a detective . see this if you liked the voice of terror .	
1	just like all of mel brooks ' other comedies , men in tights is hilarious . but in seeing this as an outrageous comedy , i think many fail to realize that the reason the movie is so funny is that the characters themselves are acted so well . elwes is the well - spoken former british noble , lewis is an eternally annoyed king ( i hope it 's worth all the nooooooiiiise ! ) , deluise is a fantastic godfather , roger rees is a worried and cynical sheriff .... the actors and actresses are so loyal to	
0	this documentary was boring , and quite stupid.<br /><br />i mean ... the documentary maker obviously does not even know what how darwinian evolution works ? it is a theory , and the name is just plain dumb . reading a college biology text - book could have told the documentary maker what darwinism really is . darwinism is a good theory , but evil if it is done as politics.<br /><br />also there was no real evidence in this documentary just interviewing some people ... no expert testimonies , and shady leads ... <br /><br />the documentary was also	
0	"cuore sacro combines glossy film effects with a story that leaves much to be desired . with a script that the screen - writers for "" touched by an angel "" might have passed up as being too impuissant , ozpetek still keeps us interested at times . in fact , i wanted to focus on the positives but i found the last act so bafflingly bizarre and awful that i think the couple who jumped to their deaths in the very beginning might have been the fortunate ones.<br /><br />this movie is at heart ( pun intended ) a"	
0	aside from frank kress ( who played abraham gentry ) , an appearance by henny youngman and the last seconds of the movie , there really was n't anything particularly good about this film . why it is currently rated 5.3 and adored by some reviewers is beyond me -- the film is 99.44 % crap ... and exactly what i would have expected from director hershell gordon lewis . in the 1960s and 70s , lewis was known for making a string of incredibly low budget exploitation films , such as blood feast and monster a go - go	
1	this is a totally awesome movie ! if you have n't seen it yet , you damn well should . sure , the plot is slow to develop , the special effects are laughable , the acting is ridiculous and the action is badly choreographed , but as wrestler ddp would say ; that 's not a bad thing .... that 's a good thing ! everything about this movie is hilarious , especially if you get the dubbed version , which has even worse actors . it 's countless laughs until you get to the end , yearning for	
1	first , i rated this movie 10/10 . to me , it 's simply one of the best i saw since i was born ( i 'm 23 , but i saw numerous films ) . the story is cruel , but reality is , too , not ? it went deep into me and stirred my bowels . i saw it about 5 or 6 years ago and it still shakes me - and i still remember it ! < br /><br />second , there is no ' national preference ' ( this expression is a direct translation from	
1	although this was a film of only less than forty minutes , it is one of best directed and acted stories i have ever seen . it accomplishes in less than 45 minutes what most films can not in more than 90.<br /><br />it is the story of two brothers , one 18 and the other 10 . they come from a poor farm family in mississippi . both are caught up in war and the conflict of duty verses love of family.<br /><br />it brought tears to my eyes especially because the entire film is so well acted and	
1	"all i can say is that , i was expecting a wick movie and "" blurred "" surprised me on the positive way . very nice teenager movie . all this kinds of situations are normal on school life so all i can say is that all this reminded me my school times and sometimes it 's good to watch this kind of movies , because entertain us and travel us back to those golden years , when we were young . as well , lead us to think better in the way we must understand our children , because"	
1	"valley girl is the definitive 1980 's movie with catch phrases filtered throughout this wonderfully acted movie . the characters are so convincing that you forget it is a movie and not a video of an actual "" day - in - the - life "" of any high school , usa . this flick is to the 1980 's what the brady bunch tv series is to the 1970 's . if you do n't like it , well then "" gag me with a spoon . "	
0	there is something about doug mclure 's appearance in a movie that is a warranty of wretchedness . his dg initials are like a special cinema - certification , that comes somewhere before ' u ' . < br /><br />cushing , on the other hand , seemed to suffer from both a dilatory agent and poor judgement of his own . he did excellent work in the hammer movies as dr van helsing . i'v seen him do a very passable sherlock holmes in ' hound of the baskervilles ' . and his magnum opus was probably grand moff	
0	this was an attempt toward a romantic comedy , and one which did not work . although the film was cast in an interesting manner , the dismal script betrayed the best efforts of all . the director 's fey mannerisms may have succeeded if he had adopted a point of view . it was embarrassing to watch william baldwin and , in particular , armin muller - stahl .	
1	i loved complete savages ! why did they cancel it anyway ? they should have made a second season and so on ... god ! they always cancel the good shows ... and leave all the boring stuff . nothing interesting at tv since complete savages is gone . this show was a great idea . a single firefighter father with five crazy sons and a lazy dog ... each and every one of them has his own madness in that house . tj is always the kid ... always the smaller one ... kyle rocks ! he breaks everything	
0	oh boy ! oh boy ! on the cover of worn out vhs has a picture of sandra bullock and her name written on top . i think only reason they had chance to sell the movie in nineties , was because of sandra bullock 's name . bullock 's fans do n't have to disappoint . sandra is only thing to watch in this movie and her performance is the only you can call acting . rest of the movie it 's fun to watch in first fifteen minutes because it 's bad but after that it 's going	
0	this is by far one of the most pretentious films i have ever seen . it is a tight slap on the face of some indians who speak in english and were looking at the mirror . disgusting . the bubble gum version of the 1970s politics of the north indian plains . the message - the educated english - speaking indian tried to save the poor beggars of india in all earnestness . it ignores the fact that the poor beggars are also capable of and are saving themselves on their own.<br /><br />as a love story its okay	
1	naruse is typically considered one of the 3 master founders of japanese film , the other two being ozu and mizoguchi . this is an interesting and honest film on the lives of retired geishas . whatever happens , when such a woman ages , and loses her charm and mystique ? well , for those who are interested , watch this film . one : okin , is successful as a money - lender , but the other two have to borrow from her and are resentful . okin does n't have any children , but the other do	
0	if ever there was a film that can be considered a missed opportunity then that film is galaxina . what could possibly be wrong in basing a sci - fi film around a sexy statuesque female android ? surely such a film could never be a complete waste of time ? well , sadly this movie is pretty close to useless . there are a number of faults with this production it has to be said , however , there are two basic problems that entirely destroy the whole enterprise . firstly , this is a comedy with no funny	
1	i remember going to drive inn with my parent and sister . i was in grade 5 , and still a kid , and the drive closed down 4 years later , but the film still lingers in my memory . an adult movie , which a kid finds entertaining . that is a mark of excellence . hoffman is one of hollywoods better actors , and this film proves it . i like the billy put down the ice cream scene , and i remember the sctv version in there film i factory myself . remember joe flairty crying	
0	one thing i have noticed about british horror movies from the 1970s is that they don`t hold up to repeated viewing theatre of blood is a case in point as are all those amicus anthology movies . add the beast in the cellar to the list < br /><br />much of the drama of this movie revolves around the build up of a plot revelation at the end . once you know what the revelation is this becomes a rather flat film . it does open with a fairly good hook but after that we`re treated to long boring sequences	
0	from the dire special effects onwards i was absolutely gob smacked at how bad anyone can make a film . lets put it this way , i have absolutely no directing experience whatsoever and for the first time ever when watching a film i thought ' i can do better than that ! whilst sat watching this pap . the acting in this film was terrible , i suppose the best actor was the guy from lawnmower man but the french guy from aliens3 was so wooden i wondered how he got the former job in the first place .	
0	6 out of the 8 comments on this subject rated this film as worth watching , so let me redress the balance.<br /><br />if this is the best that british independent film makers have to offer then they need to pack away their cameras right now and find jobs in another industry . unfortunately for me that was 82 minutes i 'll never see again and hopefully i 'll save some of you from wasting 82 minutes of your own . < br /><br />whilst the idea behind the film is interesting , it is not developed enough to keep	
1	and i would have rated it higher than a 7 out of 10 if it was n't for the seriously uneven irish accent of barbara hershey in the leading role of mother madalyn . the accent came and went unfortunately which i found more than a little distracting . < br /><br />however , the performance of william l petersen in the role of joad was outstanding , he brought a warmth and depth to the character in spite of some periodic hokey dialogue . captivating and genuine , i found him quite astonishing in the way he captured the	
1	"pink flamingos is a movie no word can explain . it was just as good i thought . it expands films . starting with a "" multiple "" beginning , and ending with a shocking , but clever ending , pink flamingos is one of the best films of the year . do n't miss this opportunity to see a great film . rent it on video or see it at a late midnight showing like i did . but just see it ."	
1	"044 : the big trail ( 1930 ) - released 10/24/1930 ; viewed 4/5/06.<br /><br />births : richard harris , harold pinter , robert atkins.<br /><br />doug : in hollywood , raoul walsh unveiled his latest film , the big trail , a western about the trek west across the frontier , starring up - and - coming 23-year - old actor john wayne . in 1930 , we are seeing many "" firsts "" but few "" bests . "" besides the first john wayne film , we have here the first widescreen film ( although we only watched"	
0	"when i voted my "" 1 "" for this film i noticed that 75 people voted the same out of 146 total votes . that means that half the people that voted for this film feel it 's truly terrible . i saw this not long ago at a film festival and i was really unimpressed by it 's poor execution . the cinematography is unwatchable , the sound is bad , the story is cut and pasted from many other movies , and the acting is dreadful . this movie is basically a poor rip - off of three"	
1	i own this movie . i 've seen it over 20 times and every time i still get weepy . its a great love story , surprises , and you can definately feel chemistry between klein and sobiesky . i definately give this movie a perfect 10 . i recommend this to anyone .	
0	first of all . i do not look down on americans . i know lots of people that are intelligent people from the usa . but this movie is so utterly bad , that i just had to comment on it.<br /><br />first of all ... movies are mostly far from the truth . this movie is no exception . lots of scene 's are so incredibly false . for example the departure of the 2 space ships . you see them drop off the full tanks in space . just a small distance from each other . remember what	
1	"i love aaron carter but even i expected pop star to be predictable , but i was so wrong ! aaron carter was really funny in it and a great actor ! also the actress who played jane was a brilliant actress ! every one who i no who watched it loved it!<br /><br />the music in it was also really good!<br /><br />the my favourite lines from the film is "" you ca nt send me to a public school mom ! i m a celebridee ! ! "" and "" take your time , it'l come to you!"""	
