label	content	text2
6	aside from healthcare, what others careers are secure/stable? The only stability you can find nowadays in a career is to be the best and most flexible performer that makes the business successfull.  Keep your skills current, always keep learning, and be ready to roll if your position gets changed or cut.\n\nGood places for stability are things like utilities (water, power, phone), food service (waitress, cook), home repair (contractor, carpenter), and other things that people need all the time.	
3	where did the #2 pencil come from?  where's #1 and #3? there's a #1 and a #3, but #2, as the compromise candidate, is by far the most common.\n\n#1 pencils have a harder lead, meaning a lighter color and finer line. Also, they don't wear down as quickly. On the other hand #3 have a softer lead, giving a thicker, darker line and quick wear that requires frequent sharpening. there are even some numbers beyond that but you are only likely to find them in specialty stores, such as art supply.	
4	name unix utility to segment larger file in byte length chunks with output files named aa ab or aaa..?I am looking for the name of the unix utility to segment a larger file in byte length chunks (10k, 100k, etc.) with output files named something on the order of aa, ab,... or aaa, aab,...  I've used it in the recent past but cannot recall what the name is.  I am on Open BSD Unix but the utility may be present on other related systems such as Linux.I believe you are referring to 'split'	
3	what is the le moulin rouge?where could you go to find out more about le moulin rougeprobably the comment above me got it first but I'm givin you the site- more apporiate wher eyou could find the more information about le moulin rouge, enjoyyy	
6	What happens to my pension plan if I leave my company to another one? Cranky Old Goat has the right idea.  The tough thing is you don't want to go to your human resources department to ask them how it works.  Hopefully you have a copy of the employee handbook so you can check on their vesting schedule.	
6	"Why are chinese products so cheap?...how come other countries can not manufacture so cheaplyA lot of workers from rural areas travel to bigger manufacturing cities, providing a nearly inexhaustible source of cheap labor. The factories themselves are modern assembly lines. \n\nGenerally product development costs are not high since there is little new product development and most products are based on known, or copied, designs. China has been the most successful country is terms of ""duplicating"" other countries designs with almost comparably quality (although usually slightly inferior) at a lower cost basis."	
3	what can i use to build a model roller coaster in two days? You can buy a roller coaster kit at most hobby stores. The most popular are the ones by Miniature Amusements, Knex, Coaster Dynamix, and Imaginarium. Some of the kits are challenging, but a lot of fun when you finish them. I had the most success with the Knex roller coaster kits - lots of fun! Do a Yahoo search under any of those names to get more information. Good luck and have fun!	
9	found a passport,where to turn in? If it is a passport of another nation (i.e. not the country you found it in) then contact that nations embassy and they will instruct you. If it belongs to a resident of the country you are in then the police would be fine.	
6	Does David Copperfield use any tricks to perform his amazing magics?I saw some of his amazing magics such as flying, making something invisible instantly etc. How are those possible. Does he have any power or sumthing?The trick to making something disappear is that it can only be done for people standing in a certain spot, it involves perspective and mirrors. I don't know any more than this, I saw a programme where a magician did these tricks but only teased with how it was done. There is always a trick to magic, but they are carefully guarded.	
0	How should a hearing person dress for deaf persons?Alot of deaf people have low vision.  What clothing can I wear to make my sign language easier to see?  Also, does jewelry matter and if so, why?Solid darker colors are better for contrast with the hands, and if you mouth the words along with signing, it helps to wear lipstick, too.	
